station_nm,line_id,geo_lat,geo_lon,st_dist_from_center
Спортивная,5,59.952026,30.291338,637.9695755948806
Озёрная,81,55.6698,37.4495,13.898194695019136
Волоколамская,3,55.835154,37.382453,17.293104224180407
Волоколамская,D2,55.832192,37.38331,17.073868163719084
Профсоюзная,6,55.677671,37.562595,8.942720194545522
Южная,9,55.622436,37.609047,14.455453991549735
Авиамоторная,8,55.751933,37.717444,6.397538321961053
Авиамоторная,15,55.753666,37.719154,6.506679962856665
Улица Горчакова,12,55.542281,37.532063,23.95751597866736
Боровское шоссе,81,55.647,37.3701,19.37599397329725
Верхние Лихоборы,10,55.855143,37.561589,11.948610163732443
Шелепиха,11,55.757116,37.524067,5.770415077369983
Шелепиха,14,55.7575,37.525556,5.6815862843074525
Шелепиха,81,55.757116,37.524067,5.770415077369983
Люблино,10,55.676596,37.761639,12.457493430450112
Люблино,D2,55.685021,37.733895,10.549029330354585
Университет,1,55.69329,37.534511,8.30581017927855
Марксистская,8,55.740746,37.65604,2.845097317782193
Улица Академика Янгеля,9,55.596753,37.601498,17.331654029639235
Ростокино,14,55.839444,37.667778,10.248766634170783
ЦСКА,11,55.786602,37.533301,6.427209276850419
ЦСКА,81,55.786602,37.533301,6.427209276850419
Октябрьское поле,7,55.793581,37.493317,8.94773697823029
Домодедовская,2,55.610131,37.717111,17.060723366852336
Зябликово,10,55.611944,37.745278,17.620913156057846
Трубная,10,55.76771,37.621926,1.770317828672417
Марьина Роща,10,55.793723,37.61618,4.621012193153764
Китай-город,6,55.756498,37.631326,1.0985415736362667
Китай-город,7,55.75436,37.633877,1.1745382497875367
Волжская,10,55.690446,37.754314,11.10547027725439
Новопеределкино,81,55.6385,37.3544,20.736453284381177
Тёплый Стан,6,55.61873,37.505912,16.38447220089361
Речной вокзал,1,55.008738,82.93827,2822.4677136063465
Речной вокзал,2,55.854152,37.476728,14.303632516022045
Маяковская,2,55.769808,37.596192,2.3049728690913067
Маяковская,3,59.931366,30.354645,633.825076706613
Курская,3,55.758564,37.659039,2.8197804928867325
Курская,5,55.758631,37.661059,2.9445338923763575
Курская,D2,55.758291,37.662371,3.0158215164735394
Новохохловская,14,55.723889,37.716111,7.0598635256101145
Новохохловская,D2,55.724434,37.713557,6.889212227600256
Стрешнево,D2,55.814204,37.476699,11.114459514553094
Стрешнево,14,55.813611,37.486944,10.575352468616265
